length,score
864,-75.0
516,-12.0
424,0.0
4432,0.0
2836,-373.0
5244,-200.0
1605,-10.0
9702,-319.0
8564,-1049.0
693,0.0
996,0.0
372,0.0
579,-56.0
2053,0.0
4079,-300.0
930,-50.0
714,0.0
6968,-500.0
1255,0.0
511,-43.0
3359,-200.0
845,-32.0
1884,-100.0
10143,-534.0
2071,-100.0
1597,-64.0
4290,-467.0
730,0.0
1279,0.0
3479,-100.0
541,0.0
557,0.0
2277,-100.0
596,-9.0
1202,-136.0
2510,-1003.0
472,0.0
922,-43.0
337,0.0
3789,-200.0
2489,-100.0
7561,-700.0
1918,-498.0
7396,-600.0
620,0.0
4026,-314.0
410,-23.0
5296,-500.0
497,-48.0
4440,0.0
1048,-100.0
1021,-55.0
347,0.0
888,-16.0
666,-24.0
906,-100.0
399,0.0
9152,-1323.0
717,0.0
409,0.0
4829,-400.0
585,-41.0
1041,0.0
5144,-372.0
3311,-143.0
1525,-200.0
477,0.0
923,0.0
2544,-229.0
978,0.0
434,0.0
427,0.0
6650,-586.0
669,0.0
1377,-100.0
413,0.0
631,0.0
955,0.0
6592,-200.0
538,0.0
557,0.0
1015,-42.0
3019,-400.0
3421,0.0
8031,-2000.0
1393,0.0
1490,-100.0
1522,-115.0
768,-1.0
831,-25.0
5781,-100.0
523,0.0
3701,-100.0
3285,-200.0
451,0.0
970,0.0
916,-54.0
6570,-200.0
669,-17.0
550,0.0
7232,-400.0
