length,score
329,-5.0
502,-26.0
327,-2.0
408,-21.0
333,-4.0
325,-9.0
423,0.0
325,-9.0
414,0.0
334,-26.0
317,-5.0
324,-21.0
333,-21.0
505,-26.0
329,0.0
323,0.0
393,-32.0
324,0.0
329,0.0
328,0.0
404,-17.0
331,-5.0
320,0.0
314,0.0
329,0.0
327,-22.0
331,0.0
316,-13.0
325,-7.0
330,0.0
329,-6.0
529,-24.0
331,-20.0
316,-11.0
319,0.0
339,0.0
328,0.0
565,-32.0
329,0.0
404,-4.0
328,0.0
328,0.0
325,0.0
320,0.0
329,0.0
324,-15.0
325,0.0
323,-7.0
334,-19.0
332,0.0
480,-26.0
321,0.0
329,0.0
334,0.0
323,-24.0
483,-7.0
509,-26.0
330,0.0
328,0.0
319,0.0
401,0.0
320,-7.0
323,0.0
409,-21.0
404,0.0
512,-26.0
327,0.0
